"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-12-29";"LAR";"";"ARI";"W 31-24";"Greg Zuerlein";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-02";"MIN";"@";"SEA";"L 30-37";"Dan Bailey";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"GNB";"@";"NYG";"W 31-13";"Mason Crosby";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-27";"ATL";"";"SEA";"L 20-27";"Matt Bryant";47;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-20";"HOU";"@";"IND";"L 23-30";"Ka'imi Fairbairn";47;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-17";"DEN";"@";"MIN";"L 23-27";"Brandon McManus";47;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-27";"CLE";"@";"NWE";"L 13-27";"Austin Seibert";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"NYJ";"@";"BUF";"W 13-6";"Sam Ficken";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"MIA";"@";"NYJ";"L 21-22";"Jason Sanders";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"ARI";"@";"NYG";"W 27-21";"Zane Gonzalez";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-11";"SFO";"";"SEA";"L 24-27";"Chase McLaughlin";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"CLE";"";"BUF";"W 19-16";"Austin Seibert";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"PIT";"@";"CIN";"W 16-10";"Chris Boswell";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-17";"CHI";"@";"LAR";"L 7-17";"Eddy Pineiro ";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"SEA";"";"TAM";"W 40-34";"Jason Myers";47;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-15";"MIN";"@";"GNB";"L 16-21";"Dan Bailey";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"LAR";"";"ARI";"W 31-24";"Greg Zuerlein";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"CIN";"";"NYJ";"W 22-6";"Randy Bullock";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-10";"GNB";"";"CAR";"W 24-16";"Mason Crosby";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"MIA";"@";"DAL";"L 6-31";"Jason Sanders";47;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-22";"NOR";"@";"TEN";"W 38-28";"Wil Lutz";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"IND";"@";"TAM";"L 35-38";"Chase McLaughlin";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"SFO";"@";"TAM";"W 31-17";"Robbie Gould";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"BUF";"";"BAL";"L 17-24";"Stephen Hauschka";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-22";"CLE";"";"BAL";"L 15-31";"Austin Seibert";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"CIN";"";"CLE";"W 33-23";"Randy Bullock";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-11";"SFO";"";"SEA";"L 24-27";"Chase McLaughlin";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-28";"NOR";"@";"ATL";"W 26-18";"Wil Lutz";47;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"MIA";"@";"IND";"W 16-12";"Jason Sanders";47;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-03";"LAR";"@";"SEA";"L 29-30";"Greg Zuerlein";47;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-22";"MIA";"";"CIN";"W 38-35";"Jason Sanders";47;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"NOR";"@";"JAX";"W 13-6";"Wil Lutz";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"DAL";"";"WAS";"W 47-16";"Kai Forbath";47;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"ARI";"";"CAR";"L 20-38";"Zane Gonzalez";47;1;"no";"Regular Season";"no";"dome";"grass"
"2020-01-04";"BUF";"@";"HOU";"L 19-22";"Stephen Hauschka";47;1;"no";"Playoffs";"no";"dome";"turf"
"2019-09-09";"NOR";"";"HOU";"W 30-28";"Wil Lutz";47;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-27";"NOR";"";"ARI";"W 31-9";"Wil Lutz";47;0;"no";"Regular Season";"no";"dome";"grass"
"2019-11-10";"NOR";"";"ATL";"L 9-26";"Wil Lutz";47;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-22";"TAM";"";"NYG";"L 31-32";"Matt Gay";47;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-28";"DAL";"";"BUF";"L 15-26";"Brett Maher";47;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"IND";"@";"LAC";"L 24-30";"Adam Vinatieri";46;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"PIT";"@";"SFO";"L 20-24";"Chris Boswell";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"BAL";"@";"PIT";"W 26-23";"Justin Tucker";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"JAX";"@";"IND";"L 13-33";"Josh Lambo";46;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"CAR";"";"LAR";"L 27-30";"Joey Slye";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"DAL";"@";"NWE";"L 9-13";"Brett Maher";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-11";"SEA";"@";"SFO";"W 27-24";"Jason Myers";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"BUF";"";"NWE";"L 10-16";"Stephen Hauschka";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-15";"NWE";"@";"CIN";"W 34-13";"Nick Folk";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"CIN";"@";"CLE";"L 19-27";"Randy Bullock";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"SFO";"";"ATL";"L 22-29";"Robbie Gould";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"CHI";"";"KAN";"L 3-26";"Eddy Pineiro ";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"ARI";"@";"SEA";"W 27-13";"Zane Gonzalez";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"CAR";"@";"ATL";"L 20-40";"Joey Slye";46;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"CIN";"";"CLE";"W 33-23";"Randy Bullock";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"NWE";"";"DAL";"W 13-9";"Nick Folk";46;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-16";"NYJ";"";"CLE";"L 3-23";"Sam Ficken";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"CLE";"";"MIA";"W 41-24";"Austin Seibert";46;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"IND";"";"TEN";"L 17-31";"Adam Vinatieri";46;0;"yes";"Regular Season";"no";"dome";"turf"
"2019-11-24";"DAL";"@";"NWE";"L 9-13";"Brett Maher";46;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"HOU";"@";"KAN";"W 31-24";"Ka'imi Fairbairn";46;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"CHI";"";"NOR";"L 25-36";"Eddy Pineiro ";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-25";"LAR";"";"BAL";"L 6-45";"Greg Zuerlein";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"DET";"@";"PHI";"W 27-24";"Matt Prater";46;0;"yes";"Regular Season";"no";"open";"grass"
"2019-10-06";"DEN";"@";"LAC";"W 20-13";"Brandon McManus";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"TAM";"@";"DET";"W 38-17";"Matt Gay";46;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"KAN";"@";"JAX";"W 40-26";"Harrison Butker";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"CAR";"";"JAX";"W 34-27";"Joey Slye";46;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"LAC";"@";"DEN";"L 20-23";"Michael Badgley";46;1;"no";"Regular Season";"yes";"open";"grass"
"2019-10-13";"CAR";"@";"TAM";"W 37-26";"Joey Slye";46;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"DET";"";"MIN";"L 30-42";"Matt Prater";46;1;"no";"Regular Season";"no";"dome";"turf"
"2020-01-05";"PHI";"";"SEA";"L 9-17";"Jake Elliott";46;1;"no";"Playoffs";"no";"open";"grass"
"2019-11-17";"BAL";"";"HOU";"W 41-7";"Justin Tucker";46;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"DEN";"@";"BUF";"L 3-20";"Brandon McManus";45;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"BUF";"";"MIA";"W 31-21";"Stephen Hauschka";45;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-22";"ARI";"@";"SEA";"W 27-13";"Zane Gonzalez";45;0;"yes";"Regular Season";"no";"open";"turf"
"2019-12-01";"NYG";"";"GNB";"L 13-31";"Aldrick Rosas";45;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"LAC";"@";"MIA";"W 30-10";"Ty Long";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"TEN";"";"IND";"L 17-19";"Cairo Santos";45;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"OAK";"";"JAX";"L 16-20";"Daniel Carlson";45;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"BAL";"";"PIT";"W 28-10";"Justin Tucker";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-14";"CLE";"";"PIT";"W 21-7";"Austin Seibert";45;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"LAC";"";"DEN";"L 13-20";"Chase McLaughlin";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-28";"NOR";"@";"ATL";"W 26-18";"Wil Lutz";45;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"DET";"@";"MIN";"L 7-20";"Matt Prater";45;0;"no";"Regular Season";"no";"dome";"turf"
"2019-10-20";"TEN";"";"LAC";"W 23-20";"Cody Parkey";45;1;"no";"Regular Season";"no";"open";"grass"
"2020-01-12";"SEA";"@";"GNB";"L 23-28";"Jason Myers";45;1;"no";"Playoffs";"no";"open";"grass"
"2019-10-06";"MIN";"@";"NYG";"W 28-10";"Dan Bailey";45;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"ATL";"@";"TAM";"W 28-22";"Younghoe Koo";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"CIN";"@";"SEA";"L 20-21";"Randy Bullock";45;0;"no";"Regular Season";"no";"open";"turf"
"2019-11-03";"KAN";"";"MIN";"W 26-23";"Harrison Butker";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-17";"DEN";"";"KAN";"L 6-30";"Brandon McManus";45;0;"no";"Regular Season";"yes";"open";"grass"
"2019-10-27";"IND";"";"DEN";"W 15-13";"Adam Vinatieri";45;0;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"TAM";"@";"SEA";"L 34-40";"Matt Gay";45;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-22";"GNB";"";"DEN";"W 27-16";"Mason Crosby";45;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"TEN";"";"HOU";"L 21-24";"Ryan Succop";45;0;"yes";"Regular Season";"no";"open";"grass"
"2019-10-20";"MIN";"@";"DET";"W 42-30";"Dan Bailey";45;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-29";"TEN";"@";"ATL";"W 24-10";"Cairo Santos";45;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"NYJ";"";"BUF";"L 16-17";"Kaare Vedvik";45;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"OAK";"@";"GNB";"L 24-42";"Daniel Carlson";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"OAK";"";"DET";"W 31-24";"Daniel Carlson";45;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-28";"ATL";"";"NOR";"L 18-26";"Younghoe Koo";45;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"BUF";"";"CIN";"W 21-17";"Stephen Hauschka";45;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"SFO";"@";"WAS";"W 9-0";"Robbie Gould";45;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"IND";"";"DEN";"W 15-13";"Adam Vinatieri";45;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"TAM";"";"ARI";"W 30-27";"Matt Gay";45;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"CLE";"@";"ARI";"L 24-38";"Austin Seibert";45;0;"no";"Regular Season";"no";"dome";"grass"
"2019-09-29";"LAR";"";"TAM";"L 40-55";"Greg Zuerlein";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"TAM";"";"IND";"W 38-35";"Matt Gay";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-14";"PIT";"@";"CLE";"L 7-21";"Chris Boswell";44;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-07";"SFO";"";"CLE";"W 31-3";"Robbie Gould";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-23";"CHI";"@";"WAS";"W 31-15";"Eddy Pineiro ";44;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"CLE";"@";"ARI";"L 24-38";"Austin Seibert";44;1;"no";"Regular Season";"no";"dome";"grass"
"2019-11-17";"NOR";"@";"TAM";"W 34-17";"Wil Lutz";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"LAC";"";"GNB";"W 26-11";"Michael Badgley";44;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"LAC";"@";"MIA";"W 30-10";"Ty Long";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"OAK";"@";"HOU";"L 24-27";"Daniel Carlson";44;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-01";"OAK";"@";"KAN";"L 9-40";"Daniel Carlson";44;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"TEN";"@";"CAR";"L 20-30";"Ryan Succop";44;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"IND";"@";"LAC";"L 24-30";"Adam Vinatieri";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"KAN";"";"DEN";"W 23-3";"Harrison Butker";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"NWE";"";"DAL";"W 13-9";"Nick Folk";44;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"ATL";"@";"ARI";"L 33-34";"Matt Bryant";44;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-03";"LAR";"@";"SEA";"L 29-30";"Greg Zuerlein";44;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-15";"DET";"";"TAM";"L 17-38";"Matt Prater";44;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"KAN";"";"MIN";"W 26-23";"Harrison Butker";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"NYJ";"";"MIA";"W 22-21";"Sam Ficken";44;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"HOU";"@";"KAN";"W 31-24";"Ka'imi Fairbairn";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"TAM";"";"ATL";"L 22-28";"Matt Gay";44;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"WAS";"";"NYJ";"L 17-34";"Dustin Hopkins ";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"CIN";"@";"CLE";"L 19-27";"Randy Bullock";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"KAN";"@";"DET";"W 34-30";"Harrison Butker";44;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-15";"MIN";"@";"LAC";"W 39-10";"Dan Bailey";44;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"IND";"@";"PIT";"L 24-26";"Adam Vinatieri";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"ATL";"@";"SFO";"W 29-22";"Younghoe Koo";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"JAX";"";"NYJ";"W 29-15";"Josh Lambo";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"SFO";"";"ARI";"W 36-26";"Chase McLaughlin";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"ATL";"@";"TAM";"W 28-22";"Younghoe Koo";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-24";"WAS";"@";"MIN";"L 9-19";"Dustin Hopkins ";43;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-15";"WAS";"";"PHI";"L 27-37";"Dustin Hopkins ";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"CIN";"@";"BUF";"L 17-21";"Randy Bullock";43;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"CLE";"@";"BAL";"W 40-25";"Austin Seibert";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"TEN";"@";"CAR";"L 20-30";"Ryan Succop";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"JAX";"@";"OAK";"W 20-16";"Josh Lambo";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"DEN";"@";"MIN";"L 23-27";"Brandon McManus";43;0;"no";"Regular Season";"no";"dome";"turf"
"2019-10-20";"BUF";"";"MIA";"W 31-21";"Stephen Hauschka";43;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-11";"SFO";"";"SEA";"L 24-27";"Chase McLaughlin";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"PHI";"@";"MIA";"L 31-37";"Jake Elliott";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-16";"CLE";"@";"NYJ";"W 23-3";"Austin Seibert";43;1;"no";"Regular Season";"no";"open";"turf"
"2020-01-05";"MIN";"@";"NOR";"W 26-20";"Dan Bailey";43;1;"no";"Playoffs";"no";"dome";"grass"
"2019-10-13";"LAC";"";"PIT";"L 17-24";"Chase McLaughlin";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"BUF";"@";"NYJ";"W 17-16";"Stephen Hauschka";43;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"ARI";"";"SEA";"L 10-27";"Zane Gonzalez";43;0;"no";"Regular Season";"no";"dome";"grass"
"2019-12-29";"DEN";"";"OAK";"W 16-15";"Brandon McManus";43;1;"no";"Regular Season";"yes";"open";"grass"
"2019-11-28";"ATL";"";"NOR";"L 18-26";"Younghoe Koo";43;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"DEN";"";"CLE";"W 24-19";"Brandon McManus";43;1;"no";"Regular Season";"yes";"open";"grass"
"2019-11-17";"ARI";"@";"SFO";"L 26-36";"Zane Gonzalez";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"BAL";"";"HOU";"W 41-7";"Justin Tucker";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"LAC";"";"GNB";"W 26-11";"Michael Badgley";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"DEN";"";"CHI";"L 14-16";"Brandon McManus";43;1;"no";"Regular Season";"yes";"open";"grass"
"2019-09-23";"WAS";"";"CHI";"L 15-31";"Dustin Hopkins ";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"NYG";"@";"CHI";"L 14-19";"Aldrick Rosas";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"LAC";"";"HOU";"L 20-27";"Ty Long";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"HOU";"@";"BAL";"L 7-41";"Ka'imi Fairbairn";43;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"KAN";"@";"TEN";"L 32-35";"Harrison Butker";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"OAK";"@";"NYJ";"L 3-34";"Daniel Carlson";43;0;"no";"Regular Season";"no";"open";"turf"
"2020-01-05";"NOR";"";"MIN";"L 20-26";"Wil Lutz";43;0;"no";"Playoffs";"no";"dome";"grass"
"2019-12-15";"SFO";"";"ATL";"L 22-29";"Robbie Gould";43;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"TEN";"@";"OAK";"W 42-21";"Ryan Succop";42;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"ARI";"";"DET";"T 27-27";"Zane Gonzalez";42;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-29";"NOR";"";"DAL";"W 12-10";"Wil Lutz";42;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-08";"CAR";"@";"ATL";"L 20-40";"Joey Slye";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"HOU";"@";"JAX";"W 26-3";"Ka'imi Fairbairn";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"NYJ";"@";"CIN";"L 6-22";"Sam Ficken";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-27";"SEA";"@";"ATL";"W 27-20";"Jason Myers";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"KAN";"";"BAL";"W 33-28";"Harrison Butker";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"NYJ";"";"MIA";"W 22-21";"Sam Ficken";42;1;"no";"Regular Season";"no";"open";"turf"
"2020-01-19";"SFO";"";"GNB";"W 37-20";"Robbie Gould";42;1;"no";"Playoffs";"no";"open";"grass"
"2019-11-28";"ATL";"";"NOR";"L 18-26";"Younghoe Koo";42;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"DET";"";"GNB";"L 20-23";"Matt Prater";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"GNB";"";"DEN";"W 27-16";"Mason Crosby";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-23";"GNB";"@";"MIN";"W 23-10";"Mason Crosby";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"CLE";"@";"CIN";"L 23-33";"Austin Seibert";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-03";"SEA";"";"LAR";"W 30-29";"Jason Myers";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-17";"PHI";"";"NWE";"L 10-17";"Jake Elliott";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"DAL";"";"LAR";"W 44-21";"Kai Forbath";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"BUF";"";"WAS";"W 24-9";"Stephen Hauschka";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-28";"NOR";"@";"ATL";"W 26-18";"Wil Lutz";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"BAL";"";"PIT";"W 28-10";"Justin Tucker";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"WAS";"@";"DAL";"L 16-47";"Dustin Hopkins ";42;1;"no";"Regular Season";"no";"dome";"turf"
"2020-02-02";"SFO";"@";"KAN";"L 20-31";"Robbie Gould";42;1;"no";"Playoffs";"no";"open";"grass"
"2019-12-22";"NYJ";"";"PIT";"W 16-10";"Sam Ficken";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-12";"TAM";"@";"CAR";"W 20-14";"Matt Gay";42;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"TEN";"";"TAM";"W 27-23";"Cody Parkey";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-28";"PIT";"";"MIA";"W 27-14";"Chris Boswell";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-05";"DAL";"@";"CHI";"L 24-31";"Brett Maher";42;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"WAS";"";"DET";"W 19-16";"Dustin Hopkins ";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"NOR";"@";"LAR";"L 9-27";"Wil Lutz";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"DAL";"";"LAR";"W 44-21";"Kai Forbath";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-22";"ATL";"";"JAX";"W 24-12";"Younghoe Koo";42;0;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"CIN";"";"BAL";"L 13-49";"Randy Bullock";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"WAS";"@";"CAR";"W 29-21";"Dustin Hopkins ";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"ATL";"";"TEN";"L 10-24";"Matt Bryant";42;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-06";"TAM";"@";"NOR";"L 24-31";"Matt Gay";42;1;"no";"Regular Season";"no";"dome";"grass"
"2019-11-24";"NWE";"";"DAL";"W 13-9";"Nick Folk";42;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"NOR";"@";"CHI";"W 36-25";"Wil Lutz";42;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"LAC";"@";"CHI";"W 17-16";"Chase McLaughlin";42;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-11";"SEA";"@";"SFO";"W 27-24";"Jason Myers";42;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"NYG";"@";"CHI";"L 14-19";"Aldrick Rosas";42;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"NWE";"";"PIT";"W 33-3";"Stephen Gostkowski";41;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"LAR";"@";"ARI";"W 34-7";"Greg Zuerlein";41;0;"no";"Regular Season";"no";"dome";"grass"
"2019-10-06";"OAK";"";"CHI";"W 24-21";"Daniel Carlson";41;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-27";"CHI";"";"LAC";"L 16-17";"Eddy Pineiro ";41;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"LAC";"";"MIN";"L 10-39";"Michael Badgley";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"NWE";"";"KAN";"L 16-23";"Nick Folk";41;0;"yes";"Regular Season";"no";"open";"turf"
"2019-12-08";"SFO";"@";"NOR";"W 48-46";"Robbie Gould";41;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-13";"CAR";"@";"TAM";"W 37-26";"Joey Slye";41;0;"no";"Regular Season";"no";"open";"turf"
"2019-11-10";"KAN";"@";"TEN";"L 32-35";"Harrison Butker";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"LAR";"@";"CAR";"W 30-27";"Greg Zuerlein";41;0;"no";"Regular Season";"no";"open";"grass"
"2020-01-04";"HOU";"";"BUF";"W 22-19";"Ka'imi Fairbairn";41;1;"no";"Playoffs";"no";"dome";"turf"
"2019-09-08";"WAS";"@";"PHI";"L 27-32";"Dustin Hopkins ";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"LAC";"@";"DET";"L 10-13";"Ty Long";41;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-29";"BAL";"";"CLE";"L 25-40";"Justin Tucker";41;1;"no";"Regular Season";"no";"open";"grass"
