"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2020-01-19";"SFO";"";"GNB";"W 37-20";"Robbie Gould";54;1;"no";"Playoffs";"no";"open";"grass"
"2019-12-08";"HOU";"";"DEN";"L 24-38";"Ka'imi Fairbairn";54;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-27";"SEA";"@";"ATL";"W 27-20";"Jason Myers";54;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"GNB";"@";"LAC";"L 11-26";"Mason Crosby";54;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"MIA";"";"BAL";"L 10-59";"Jason Sanders";54;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-12";"CAR";"";"TAM";"L 14-20";"Joey Slye";54;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"JAX";"";"IND";"W 38-20";"Josh Lambo";53;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"DEN";"";"LAC";"W 23-20";"Brandon McManus";53;1;"no";"Regular Season";"yes";"open";"grass"
"2019-11-17";"CIN";"@";"OAK";"L 10-17";"Randy Bullock";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"IND";"";"TEN";"L 17-31";"Adam Vinatieri";53;0;"yes";"Regular Season";"no";"dome";"turf"
"2019-10-13";"DEN";"";"TEN";"W 16-0";"Brandon McManus";53;1;"no";"Regular Season";"yes";"open";"grass"
"2019-12-22";"PHI";"";"DAL";"W 17-9";"Jake Elliott";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"JAX";"";"TAM";"L 11-28";"Josh Lambo";53;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"LAR";"@";"CLE";"W 20-13";"Greg Zuerlein";53;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"NYG";"@";"WAS";"W 41-35";"Aldrick Rosas";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"WAS";"";"PHI";"L 27-37";"Dustin Hopkins ";53;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"TEN";"";"BUF";"L 7-14";"Cairo Santos";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"PHI";"@";"MIN";"L 20-38";"Jake Elliott";53;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"CAR";"";"LAR";"L 27-30";"Joey Slye";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"ATL";"";"SEA";"L 20-27";"Matt Bryant";53;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-15";"CHI";"@";"DEN";"W 16-14";"Eddy Pineiro ";53;1;"no";"Regular Season";"yes";"open";"grass"
"2019-10-27";"DET";"";"NYG";"W 31-26";"Matt Prater";53;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"MIA";"@";"NYJ";"L 21-22";"Jason Sanders";53;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-08";"TEN";"@";"CLE";"W 43-13";"Cairo Santos";53;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"BUF";"";"PHI";"L 13-31";"Stephen Hauschka";53;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"SEA";"";"BAL";"L 16-30";"Jason Myers";53;0;"no";"Regular Season";"no";"open";"turf"
"2019-11-10";"BUF";"@";"CLE";"L 16-19";"Stephen Hauschka";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"DET";"";"KAN";"L 30-34";"Matt Prater";53;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"CLE";"";"CIN";"W 27-19";"Austin Seibert";53;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-07";"OAK";"";"LAC";"W 26-24";"Daniel Carlson";53;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"NYJ";"";"NYG";"W 34-27";"Sam Ficken";53;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"CAR";"@";"NOR";"L 31-34";"Joey Slye";52;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-29";"MIA";"";"LAC";"L 10-30";"Jason Sanders";52;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"HOU";"";"CAR";"L 10-16";"Ka'imi Fairbairn";52;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-21";"LAR";"@";"SFO";"L 31-34";"Greg Zuerlein";52;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"NYJ";"@";"MIA";"L 18-26";"Sam Ficken";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"DET";"";"NYG";"W 31-26";"Matt Prater";52;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"KAN";"@";"TEN";"L 32-35";"Harrison Butker";52;0;"yes";"Regular Season";"no";"open";"grass"
"2019-09-22";"TAM";"";"NYG";"L 31-32";"Matt Gay";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"DEN";"";"LAC";"W 23-20";"Brandon McManus";52;1;"no";"Regular Season";"yes";"open";"grass"
"2019-11-04";"DAL";"@";"NYG";"W 37-18";"Brett Maher";52;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"ATL";"";"LAR";"L 10-37";"Matt Bryant";52;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-20";"NOR";"@";"CHI";"W 36-25";"Wil Lutz";52;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"HOU";"@";"JAX";"W 26-3";"Ka'imi Fairbairn";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"CAR";"";"SEA";"L 24-30";"Joey Slye";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-07";"SFO";"";"CLE";"W 31-3";"Robbie Gould";52;0;"no";"Regular Season";"no";"open";"grass"
