"Rank","Player","Pos","Tm","G","FG"
141,"Tyler Herro","SG","MIA",47,220
142,"Rui Hachimura","PF","WAS",41,218
143,"Gary Harris","SG","DEN",56,218
144,"Joe Ingles","SF","UTA",64,218
145,"Dario Saric","PF","PHO",58,217
146,"Jeremy Lamb","SG","IND",46,216
147,"Daniel Theis","C","BOS",58,216
148,"Dorian Finney-Smith","PF","DAL",64,214
149,"Maxi Kleber","C","DAL",66,214
150,"Damion Lee","SG","GSW",49,213
151,"Cam Reddish","SF","ATL",58,213
152,"Jeff Teague","PG","TOT",59,213
153,"Derrick White","SG","SAS",61,213
154,"Malik Monk","SG","CHO",55,212
155,"Anfernee Simons","SG","POR",65,211
156,"Mikal Bridges","SF","PHO",65,210
157,"Marquese Chriss","PF","GSW",59,210
158,"Richaun Holmes","C","SAC",39,210
159,"Donte DiVincenzo","SG","MIL",59,209
160,"Ben McLemore","SG","HOU",63,209
161,"Danuel House","SF","HOU",58,206
162,"Aaron Holiday","PG","IND",58,202
163,"Ivica Zubac","C","LAC",64,202
164,"Josh Hart","SF","NOP",57,200
165,"Kyrie Irving","PG","BRK",20,199
166,"Jabari Parker","PF","TOT",33,199
167,"Bruce Brown","SG","DET",58,198
168,"Garrett Temple","SG","BRK",55,198
169,"Mike Conley","PG","UTA",41,197
170,"Jae Crowder","SF","TOT",58,197
171,"Tyus Jones","PG","MEM",65,197
172,"Elfrid Payton","PG","NYK",45,193
173,"DeAndre Jordan","C","BRK",56,191
174,"Justin Holiday","SG","IND",65,190
175,"Derrick Favors","C","NOP",45,189
176,"Markieff Morris","PF","TOT",52,189
177,"Dwight Howard","C","LAL",62,188
178,"Paul Millsap","PF","DEN",44,188
179,"T.J. McConnell","PG","IND",63,187
180,"Kevin Porter Jr.","SF","CLE",50,186
181,"Kent Bazemore","SF-SG","TOT",64,185
182,"Thomas Bryant","C","WAS",38,184
183,"Aron Baynes","C","PHO",42,183
184,"Wendell Carter Jr.","C","CHI",43,183
185,"Austin Rivers","SG","HOU",60,182
186,"Jalen Brunson","PG","DAL",57,181
187,"Terence Davis","SG","TOR",64,181
188,"JaVale McGee","C","LAL",61,181
